wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Poor,No Education,Rural,Tribe,Household Barrier,20963,False,0.439346,0.672308,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Tribe,Logistical Barrier,20963,False,0.538043,0.711493,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Tribe,Health Facility Barrier,20963,False,0.63302,0.668116,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Don't Know,Household Barrier,55,False,0.527273,0.675167,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Don't Know,Logistical Barrier,55,False,0.345455,0.51831,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Don't Know,Health Facility Barrier,55,False,0.254545,0.440324,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,No Caste/Tribe,Household Barrier,331,False,0.422961,0.709601,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,No Caste/Tribe,Logistical Barrier,331,False,0.299094,0.523605,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,No Caste/Tribe,Health Facility Barrier,331,False,0.607251,0.613726,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Other Caste,Household Barrier,5177,False,0.377246,0.604877,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Other Caste,Logistical Barrier,5177,False,0.314661,0.497353,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Other Caste,Health Facility Barrier,5177,False,0.490052,0.533913,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Tribe,Household Barrier,603,False,0.376451,0.645278,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Tribe,Logistical Barrier,603,False,0.366501,0.580545,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Urban,Tribe,Health Facility Barrier,603,False,0.537313,0.584959,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Don't Know,Household Barrier,305,False,0.396721,0.615851,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Don't Know,Logistical Barrier,305,False,0.403279,0.578674,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Don't Know,Health Facility Barrier,305,False,0.511475,0.5577,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,No Caste/Tribe,Household Barrier,2611,False,0.546151,0.75126,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,No Caste/Tribe,Logistical Barrier,2611,False,0.469935,0.659309,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,No Caste/Tribe,Health Facility Barrier,2611,False,0.601302,0.645722,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Other Caste,Household Barrier,31056,False,0.366692,0.604826,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Other Caste,Logistical Barrier,31056,False,0.422495,0.611591,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Other Caste,Health Facility Barrier,31056,False,0.5483,0.585417,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Tribe,Household Barrier,10276,False,0.438011,0.66596,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Tribe,Logistical Barrier,10276,False,0.521896,0.693727,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Rural,Tribe,Health Facility Barrier,10276,False,0.577851,0.61547,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Don't Know,Household Barrier,37,False,0.513514,0.61176,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Don't Know,Logistical Barrier,37,False,0.27027,0.415956,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Don't Know,Health Facility Barrier,37,False,0.27027,0.360293,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,No Caste/Tribe,Household Barrier,220,False,0.445455,0.690434,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,No Caste/Tribe,Logistical Barrier,220,False,0.281818,0.450088,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,No Caste/Tribe,Health Facility Barrier,220,False,0.522727,0.537709,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Other Caste,Household Barrier,2422,False,0.36251,0.593613,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Other Caste,Logistical Barrier,2422,False,0.284476,0.458715,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Primary,Urban,Other Caste,Health Facility Barrier,2422,False,0.480595,0.516185,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
